userid,account,uncertainty_1,uncertainty_2,likelihood_e,reduc_e,likelihood_s,reduc_s,Finished,NoA.,1. NoA,1L. NoA._1,1L. NoA._1,2. NoA.,2L. NoA._1,2L. NoA._1,NoA.,1. NoA,1L. NoA._1,1L. NoA._1,2. NoA.,2M. NoA._1,2M. NoA._1,NoA.,1. NoA,1L. NoA_1,1L. NoA._1,2. NoA.,2H. NoA._1,2H. NoA._1,NoA,1. NoA.,1M. NoA._1,1M. NoA._1,2. NoA.,2L. NoA._1,2L. NoA._1,NoA.,1. NoA,1M. NoA._1,1M. NoA._1,2. NoA.,2M. NoA._1,2M. NoA._1,NoA.,1. NoA.,1M. NoA_1,1M. NoA._1,2. NoA.,2H. NoA._1,2H. NoA._1,NoA.,1. NoA.,1H. NoA._1,1H. NoA._1,2. NoA,2L. Acc._1,2L. Acc._1,NoA.,1. NoA.,1H. NoA_1,1H. NoA._1,2. NoA.,2M. Acc._1,2M. Acc._1,NoA.,1. NoA.,1H. NoA._1,1H. NoA._1,2. NoA,2H. Acc._1,2H. Acc._1,Acc.,1. Acc,1L. Acc._1,1L. Acc._1,2. Acc,2L. Acc._1,2L. Acc._1,Acc.,1. Acc.,1L. Acc._1,1L. Acc._1,2. Acc.,2M. Acc._1,2M. Acc._1,Acc.,1. Acc.,1L. Acc._1,1L. Acc._1,2. Acc.,2H. Acc._1,2H. Acc._1,Acc.,1. Acc.,1M. Acc._1,1M. Acc._1,2. Acc.,2L. Acc._1,2L. Acc._1,Acc.,1. Acc.,1M. Acc._1,1M. Acc._1,2. Acc.,2M. Acc._1,2M. Acc._1,Acc.,1. Acc.,1M. Acc._1,1M. Acc._1,2. Acc.,2H. Acc._1,2H. Acc._1,Acc.,1. Acc.,1H. Acc._1,1H. Acc._1,2. Acc.,2L. Acc._1,2L. Acc._1,Acc.,1. Acc.,1H. Acc._1,1H. Acc._1,2. Acc.,2M. Acc._1,2M. Acc._1,Acc.,1. Acc.,1H. Acc._1,1H. Acc._1,2. Acc.,2H. Acc._1,2H. Acc._1,crt,crt1,crt1_s,crt2,crt2_s,crt3,crt3_s,consc,consc_1,consc_2*,consc_2,consc_3,consc_4*,consc_4,extro,extro_1,extro_2*,extro_2,extro_3,extro_4*,extro_4,agree,agree_1,agree_2*,agree_2,agree_3,agree_4*,agree_4,open,open_1,open_2*,open_2,open_3*,open_3,open_4*,open_4,neuro,neuro_1,neuro_2*,neuro_2,neuro_3,neuro_4*,neuro_4,nfc,nfc_1,nfc_2,nfc_3*,nfc_3,nfc_4*,nfc_4,nfc_5*,nfc_5,nfc_6,nfc_7*,nfc_7,nfc_8*,nfc_8,nfc_9*,nfc_9,nfc_10,nfc_11,nfc_12*,nfc_12,nfc_13,nfc_14,nfc_15,nfc_16*,nfc_16,nfc_17*,nfc_17,nfc_18,aomt,aomt_1,aomt_2,aomt_3,aomt_4*,aomt_4,aomt_5*,aomt_5,aomt_6*,aomt_6,aomt_7*,aomt_7,aomt_8,aomt_9,background,pol.party,pol.party_TEXT,pol.orient_1,pol.orient_2,pol.orient_3,educ,age,gender,race,pol.exp_1,pol.exp_2,pol.exp_3,pol.exp_4,pol.exp_5,pol.exp_6,pol.exp_7,pol.exp_8,policy
306,0,1,3,40,4,60,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,40,4,1,60,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0, ,0,24,0,4.25,5,2,6,7,3,5,5,6,4,4,4,6,2,5.75,7,7,1,2,7,1,5.75,7,4,4,5,3,7,1,4,6,2,6,4,4,4,4.055555556,3,7,6,2,1,7,3,5,6,3,5,3,5,3,5,4,6,6,2,4,6,2,2,6,2,6,6,4.444444444,7,5,4,4,4,1,7,4,4,3,5,6,6,1,1,,8,5,5,5,2,1,1,,,,,,,1,,2
307,1,3,2,24,33,66,46,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,24,33,1,66,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,6.25,5,6,2,7,7,1,5.5,5,6,2,7,4,4,6.25,5,6,2,7,7,1,5.25,5,5,3,6,2,5,3,2,2,3,5,1,2,6,5.222222222,6,5,6,2,5,3,3,5,7,3,5,5,3,6,2,7,6,7,1,2,5,7,7,1,4,4,3,4.777777778,7,7,5,1,7,2,6,4,4,5,3,6,6,1,3,,3,4,5,5,5,2,1,,,,,1,,,,2
308,1,3,1,30,43,94,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,30,43,1,94,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,6.25,7,6,2,6,6,2,6.25,6,7,1,7,5,3,5.75,6,5,3,6,6,2,6.5,6,6,2,7,1,7,1,3,2,3,5,3,4,4,4.333333333,5,6,6,2,5,3,3,5,7,3,5,3,5,4,4,1,3,3,5,2,6,7,3,5,7,1,4,3.666666667,7,4,2,1,7,3,5,2,6,3,5,5,6,1,2,,7,6,7,5,4,1,5,,,,1,1,,,,1
309,1,1,3,74,6,30,6,1,,,,,,,,,,,,,,,1,1,74,6,1,30,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,5.5,5,5,3,6,6,2,5,5,6,2,3,6,2,5.75,6,7,1,5,5,3,5.5,4,7,1,5,3,6,2,2.5,3,2,6,2,3,5,4.611111111,5,6,6,2,5,3,1,7,6,6,2,5,3,6,2,1,7,6,2,6,7,1,3,5,4,4,2,4.444444444,7,7,6,3,5,2,6,3,5,2,6,6,4,1,1,,2,3,4,5,4,2,1,,,,,,1,1,,2
310,0,3,1,15,7,96,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,15,7,1,96,10,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,6.5,6,6,2,7,7,1,4.75,4,6,2,5,4,4,5.75,6,5,3,6,6,2,6,6,6,2,7,1,5,3,2.5,2,2,6,3,3,5,5.5,6,6,6,2,5,3,3,5,6,3,5,5,3,6,2,7,6,7,1,6,5,4,6,2,5,3,7,4.666666667,4,5,7,6,2,1,7,4,4,3,5,6,6,1,1,,5,6,5,5,3,2,3,,,,,,1,1,,2
311,0,2,2,71,41,82,48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,71,41,1,82,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,5.25,5,5,3,5,6,2,6.25,6,6,2,7,6,2,5.75,5,6,2,7,5,3,5.75,6,5,3,6,2,6,2,2.25,2,2,6,3,2,6,5.166666667,5,6,6,2,5,3,2,6,7,6,2,5,3,3,5,6,7,4,4,6,7,2,7,1,5,3,4,4.222222222,5,5,7,5,3,5,3,1,7,2,6,4,4,1,3,,5,3,5,6,5,1,1,,,,,1,1,1,,2
312,1,2,2,69,44,64,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,69,44,1,64,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,5.25,5,5,3,5,6,2,4.75,4,6,2,5,4,4,5.5,6,6,2,5,5,3,5.75,5,6,2,5,3,7,1,2.5,3,2,6,2,3,5,4.388888889,6,5,5,3,2,6,2,6,1,5,3,3,5,3,5,7,6,6,2,4,6,2,7,1,5,3,4,5.111111111,7,7,6,5,3,2,6,3,5,4,4,5,7,1,2,,8,7,8,5,4,2,1,,,,,1,1,,,2
313,1,3,3,5,82,32,63,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,82,1,32,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,6.5,7,6,2,6,7,1,5,5,6,2,6,3,5,6,6,6,2,7,5,3,6.25,6,6,2,6,2,7,1,2.75,3,2,6,2,4,4,4.944444444,5,5,6,2,2,6,5,3,7,3,5,3,5,5,3,7,6,7,1,6,7,4,6,2,4,4,1,3.888888889,3,5,4,5,3,2,6,2,6,2,6,7,5,1,1,,3,4,5,5,4,2,1,,,,1,,1,1,,1
314,0,1,2,45,5,65,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,45,5,1,65,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.10,0,5,1,24,0,4.5,6,3,5,6,3,5,5.5,6,6,2,3,7,1,4.75,6,5,3,2,6,2,5.75,7,5,3,4,4,7,1,4.5,6,5,3,3,4,4,3.888888889,4,6,3,5,1,7,1,7,5,6,2,6,2,2,6,6,6,6,2,4,2,2,2,6,2,6,6,3.777777778,4,4,4,3,5,2,6,3,5,3,5,5,6,1,7,,3,7,3,3,1,1,1,,,,,,,,1,2
315,0,1,3,77,6,30,51,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,77,6,1,30,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,5.5,5,6,2,6,5,3,4.75,5,5,3,5,4,4,6,6,5,3,7,6,2,5.75,5,7,1,5,3,6,2,2.75,3,2,6,2,4,4,3.888888889,5,5,5,3,6,2,2,6,2,4,4,1,7,2,6,2,3,4,4,5,6,7,6,2,4,4,1,4.666666667,6,7,5,5,3,4,4,2,6,2,6,6,5,1,2,,5,7,6,5,5,2,3,,,,,1,,1,,2
316,1,1,2,75,6,70,48,1,,,,,,,,1,1,75,6,1,70,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,6.5,6,6,2,7,7,1,4.75,4,6,2,6,3,5,5.75,6,5,3,6,6,2,6,6,6,2,5,3,7,1,2.5,2,2,6,3,3,5,4.666666667,6,5,6,2,3,5,6,2,7,2,6,3,5,4,4,6,7,7,1,6,1,2,4,4,6,2,3,5.111111111,7,7,6,6,2,2,6,3,5,4,4,5,6,1,3,,5,4,4,5,2,2,1,,,,,,,1,,2
317,1,2,3,73,45,24,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,73,45,1,24,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,5.75,5,6,2,5,7,1,5.75,6,6,2,7,4,4,6.25,7,6,2,6,6,2,6.25,6,6,2,6,2,7,1,3.25,4,2,6,3,4,4,4.722222222,3,6,6,2,3,5,6,2,6,3,5,3,5,5,3,7,6,1,7,4,7,3,7,1,5,3,4,4.444444444,4,6,5,5,3,3,5,3,5,3,5,7,4,1,1,,5,4,4,5,3,2,5,,,,,1,1,,,2
318,0,2,1,63,27,92,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,63,27,1,92,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,5.25,5,5,3,5,6,2,6.25,6,6,2,7,6,2,5.5,6,6,2,5,5,3,5.75,5,6,2,5,3,7,1,2.25,3,2,6,2,2,6,5.111111111,6,5,5,3,6,2,5,3,6,3,5,3,5,2,6,7,6,5,3,6,7,3,6,2,7,1,4,4.666666667,5,6,5,5,3,4,4,1,7,3,5,6,7,1,3,,3,5,3,5,5,1,1,,,,1,,1,,,1
319,0,3,1,36,22,87,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,36,22,1,87,10,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,6.75,6,7,1,7,7,1,4.75,3,6,2,6,4,4,5.75,6,5,3,6,6,2,6.25,7,5,3,7,1,6,2,2.75,3,2,6,2,4,4,3.944444444,5,6,6,2,3,5,4,4,1,3,5,3,5,2,6,7,1,6,2,3,6,2,7,1,4,4,2,4.666666667,6,7,5,6,2,1,7,4,4,2,6,6,5,1,2,,5,6,6,6,4,1,1,,,,1,1,,1,,1
320,1,3,1,37,61,82,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,37,61,1,82,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,5.5,5,5,3,6,6,2,5.75,6,6,2,7,4,4,5.25,6,5,3,5,5,3,5.5,4,6,2,7,1,5,3,2,3,2,6,2,1,7,4.944444444,6,6,6,2,5,3,6,2,1,5,3,3,5,6,2,6,7,5,3,6,6,4,6,2,4,4,1,3.777777778,4,5,7,3,5,3,5,2,6,1,7,3,6,1,1,,5,5,3,5,4,1,1,,,,,1,1,,,2
321,0,3,3,69,52,93,90,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,69,52,1,93,90,0,0.10,0,100,0,24,0,5.75,7,6,2,5,5,3,5,5,6,2,4,5,3,6,5,6,2,6,7,1,5.75,6,6,2,6,2,5,3,2.5,2,2,6,3,3,5,5.166666667,6,7,6,2,3,5,6,2,7,3,5,3,5,2,6,7,6,6,2,6,7,4,5,3,7,1,2,3.666666667,3,6,5,3,5,1,7,4,4,2,6,4,5,1,3,,4,5,5,5,3,2,3,,,,,1,,1,,2
322,0,1,1,95,8,99,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,95,8,1,99,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,6,6,6,2,5,7,1,6.25,7,6,2,6,6,2,5,4,6,2,5,5,3,5.75,5,6,2,5,3,7,1,4.5,5,5,3,4,4,4,3.722222222,2,5,5,3,3,5,4,4,6,3,5,2,6,2,6,5,6,7,1,4,5,1,4,4,1,7,2,4.555555556,6,7,7,4,4,2,6,3,5,2,6,5,5,1,2,,7,6,7,5,5,2,3,,,,1,,1,1,,2
323,0,3,2,49,69,75,49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,49,69,1,75,49,,,,,,,,0,0.10,0,100,0,24,0,5.5,6,6,2,5,5,3,5.75,5,6,2,6,6,2,6,6,5,3,7,6,2,6.75,7,6,2,7,1,7,1,2,2,2,6,1,3,5,4.944444444,6,6,7,1,3,5,5,3,6,3,5,5,3,3,5,6,7,6,2,7,5,1,7,1,4,4,2,4.888888889,6,7,5,5,3,3,5,2,6,5,3,4,7,1,2,,6,5,5,5,2,1,1,,,,,,,1,,2
324,1,3,2,50,45,55,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,50,45,1,55,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.10,0,5,1,24,0,5,7,3,5,7,3,5,4.5,5,3,5,4,6,2,5.25,7,5,3,3,6,2,6.25,7,6,2,5,3,7,1,4.25,6,4,4,4,3,5,4.611111111,6,6,6,2,2,6,2,6,7,4,4,1,7,2,6,7,7,4,4,7,7,6,1,7,2,6,6,4.333333333,6,5,5,2,6,3,5,4,4,4,4,4,6,1,7,,5,5,5,4,2,1,1,,,,,,,,1,2
325,1,1,3,52,4,70,4,1,,,,,,,,,,,,,,,1,1,52,4,1,70,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.10,0,5,1,24,0,5.25,7,4,4,6,4,4,5.5,7,5,3,5,5,3,5.5,6,6,2,3,7,1,5.75,6,6,2,4,4,7,1,4,4,2,6,4,6,2,4.777777778,4,6,6,2,2,6,2,6,6,4,4,4,4,4,4,6,6,6,2,6,6,6,4,4,2,6,6,3.777777778,6,6,4,5,3,1,7,2,6,2,6,4,4,1,1,,7,7,7,3,3,1,1,,1,,,,,,,2
326,1,1,1,40,4,65,6,1,1,1,40,4,1,65,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0, ,0,24,0,5.25,7,3,5,7,4,4,4.75,5,4,4,3,7,1,5,5,7,1,1,7,1,6,6,5,3,6,2,7,1,4.75,6,6,2,3,4,4,3.722222222,1,4,6,2,1,7,1,7,7,3,5,2,6,4,4,4,4,7,1,5,4,4,2,6,4,4,4,4.777777778,7,5,6,4,4,3,5,4,4,4,4,4,6,1,4,Green Peace,6,6,6,4,1,1,3,,,,1,,,,,2
327,0,2,3,40,20,70,55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,40,20,1,70,55,,,,,,,,,,,,,,,,,,,,,,1,0.10,0,5,1,24,0,5.75,7,4,4,7,5,3,5.75,7,5,3,5,6,2,5.75,7,6,2,3,7,1,6.5,7,6,2,6,2,7,1,3.25,5,2,6,3,3,5,4.222222222,5,4,4,4,5,3,2,6,5,3,5,2,6,2,6,7,4,6,2,5,5,7,2,6,3,5,5,4.111111111,6,5,5,5,3,4,4,3,5,2,6,4,3,1,1,,7,5,5,5,2,1,1,,,,,,,1,,2
328,0,1,1,80,7,97,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,80,7,1,97,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,5.5,6,6,2,5,5,3,5,6,5,3,5,4,4,6.5,7,6,2,6,7,1,5.25,5,5,3,6,2,5,3,2.75,2,3,5,3,3,5,5.111111111,6,6,6,2,3,5,6,2,6,3,5,3,5,5,3,7,7,7,1,6,7,1,4,4,6,2,3,4.111111111,4,3,6,3,5,2,6,3,5,2,6,7,7,1,3,,5,7,5,5,4,1,1,,,,,1,1,,,2
329,1,3,1,26,58,84,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,26,58,1,84,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,5.25,5,5,3,5,6,2,5.75,6,6,2,7,4,4,6,6,5,3,7,6,2,6,4,7,1,6,2,7,1,3.25,5,2,6,3,3,5,4.333333333,3,6,6,2,3,5,2,6,6,3,5,3,5,2,6,7,6,6,2,5,1,6,7,1,4,4,2,3.555555556,6,3,5,1,7,3,5,2,6,1,7,7,4,1,1,,5,4,6,5,5,2,3,,,,,1,,1,,2
330,1,2,3,42,36,33,81,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,42,36,1,33,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,5.75,6,6,2,6,5,3,5.75,5,6,2,6,6,2,6.25,7,6,2,6,6,2,5.75,5,6,2,5,3,7,1,2.5,3,2,6,2,3,5,5.5,6,7,7,1,6,2,5,3,7,3,5,5,3,5,3,6,7,7,1,6,7,1,5,3,5,3,4,4.222222222,7,4,5,6,2,1,7,2,6,2,6,6,5,1,2,,6,7,6,6,5,1,1,,,,1,1,,1,,1
331,1,3,3,65,55,75,70,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,65,55,1,75,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.10,0,5,1,24,0,5.5,6,4,4,7,5,3,5.5,6,5,3,5,6,2,5.75,7,7,1,3,6,2,5,6,4,4,3,5,7,1,5.25,7,5,3,5,4,4,4.611111111,7,6,7,1,4,4,4,4,6,4,4,4,4,3,5,6,4,6,2,2,4,6,2,6,4,4,4,4.444444444,7,7,6,4,4,1,7,3,5,2,6,6,4,1,2,,4,3,3,4,1,2,5,,,1,1,,,,,2
332,0,1,2,86,10,72,44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,86,10,1,72,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,5.5,6,6,2,5,5,3,5,4,6,2,5,5,3,5.75,6,6,2,6,5,3,5.75,6,6,2,6,2,5,3,2.25,2,2,6,2,3,5,4.833333333,3,6,6,2,5,3,6,2,6,3,5,5,3,2,6,5,7,7,1,6,6,1,7,1,4,4,2,5,6,6,7,6,2,3,5,3,5,3,5,5,6,1,3,,5,5,6,5,2,2,1,,,,,,,1,,2
333,1,1,3,62,4,64,4,1,,,,,,,,,,,,,,,1,1,62,4,1,64,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,5.75,5,5,3,7,6,2,5.5,6,6,2,6,4,4,6,7,6,2,6,5,3,6.25,6,5,3,7,1,7,1,2.5,2,2,6,3,3,5,4.833333333,2,6,7,1,3,5,3,5,6,3,5,2,6,6,2,6,7,7,1,5,7,3,4,4,7,1,3,4.111111111,5,5,7,4,4,1,7,3,5,1,7,5,6,1,2,,5,7,7,5,4,1,1,,,,1,1,1,1,,1
334,0,3,2,80,75,95,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,80,75,1,95,45,,,,,,,,1,0.10,0,5,1,24,0,6.75,7,6,2,7,7,1,5,5,4,4,4,7,1,5,6,4,4,4,6,2,5.5,7,5,3,4,4,6,2,4.25,6,4,4,5,2,6,4.666666667,7,6,6,2,2,6,4,4,7,4,4,3,5,3,5,7,6,6,2,6,6,4,1,7,4,4,2,4.222222222,6,5,5,5,3,1,7,3,5,3,5,4,6,1,2,,5,5,5,5,2,2,1,,1,,1,,,1,,2
335,1,1,2,63,5,67,45,1,,,,,,,,1,1,63,5,1,67,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,5.25,5,5,3,5,6,2,5,6,6,2,5,3,5,6,6,6,2,5,7,1,6,6,6,2,5,3,7,1,2.5,2,2,6,3,3,5,5.277777778,6,5,6,2,5,3,5,3,6,6,2,3,5,4,4,7,6,6,2,6,7,3,4,4,5,3,5,4.333333333,4,7,4,4,4,2,6,2,6,3,5,7,6,1,6,,5,5,6,5,3,2,3,,,,,,,1,,2
336,0,2,2,50,25,100,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,50,25,1,100,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.10,0,5,1,24,0,6,7,3,5,7,7,1,6.25,7,6,2,5,7,1,5.75,7,7,1,2,7,1,6,7,6,2,5,3,6,2,4.25,6,4,4,4,3,5,3.888888889,7,5,5,3,2,6,2,6,7,3,5,4,4,2,6,6,2,2,6,5,4,4,2,6,4,4,4,4.333333333,7,5,6,4,4,3,5,1,7,3,5,4,6,1,3,,7,5,5,3,1,2,3,,,,,,,,1,2
337,1,3,2,7,56,80,47,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,56,1,80,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,5,4,6,2,5,5,3,6.25,7,7,1,6,5,3,5.75,6,7,1,5,5,3,6,5,6,2,7,1,6,2,2.75,2,3,5,3,3,5,4.722222222,6,6,6,2,2,6,3,5,7,3,5,2,6,7,1,7,6,5,3,2,5,6,4,4,7,1,1,4.777777778,7,5,7,5,3,2,6,3,5,4,4,6,4,1,5,,5,3,2,5,2,2,1,,,,,,1,,,2
338,1,2,2,66,30,75,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,66,30,1,75,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0, ,0,24,0,5.5,7,5,3,6,4,4,6,7,6,2,5,6,2,5.75,7,6,2,5,5,3,5.25,7,5,3,3,5,6,2,5.5,7,6,2,6,3,5,3.777777778,4,7,7,1,1,7,3,5,6,2,6,4,4,2,6,4,4,4,4,4,6,2,2,6,2,6,4,4.666666667,6,6,5,4,4,2,6,4,4,3,5,6,6,1,6,,6,6,6,3,3,2,1,,,,,,,,1,2
